,Reporting Period,Utility,Accounts,Accounts Disconnected,Account Disconnection Rate,Accounts Disconnected between 24 and 48 Hours,Accounts Reconnected in <24 Hours,Accounts Disconnected for >48 Hours,Accounts Disconnected Multiple Times,Accounts Notified Before Disconnection,Accounts in 30+ Day Arrears,Accounts in 30-60 Day Arrears,Accounts in 60+ Day Arrears,Percentage of Accounts in 30-60 Day Arrears,Percentage of Accounts in 60+ Day Arrears,Percentage of Accounts in 30+ Day Arrears,Average Balance of 30-60 Day Arrears,Average Balance of 60+ Day Arrears,Average Balance of 30+ Day Arrears,Total Balance of 30+ Day Arrears,Total Balance of 30-60 Day Arrears,Total Balance of 60+ Day Arrears,Accounts Past Due or Delinquent,Percentage of Accounts Past Due or Delinquent,Accounts on Repayment Plans,Accounts in Good Standing on Repayment Plans,Average Balance of Repayment Plans,Total Balance of Repayment Plans,Vulnerable Accounts,Vulnerable Accounts Disconnected
56,2023-02-01,Duke Energy Carolinas,1851950.0,6728.0,0.0036329274548448,100.0,326.0,288.0,5796.0,71367.0,374844.0,192361.0,182483.0,0.1038694349199492,0.0985355976133264,0.2024050325332757,274.7016650984347,416.5653512929972,343.7642912785052,128857982.0,52841887.0,76016095.0,374844.0,0.2024050325332757,62386.0,,702.4845959029269,43825204.0,63.0,
57,2023-01-01,Dominion Energy,106965.0,68.0,0.0006357219651287,1.0,25.0,42.0,23.0,7318.0,18080.0,10521.0,7559.0,0.098359276398822,0.0706679755060066,0.1690272519048286,805.066893831385,960.9606561714512,870.2439375,15734010.39,8470108.790000001,7263901.6,17727.0,0.165727106997616,4706.0,,700.508059923502,3296590.93,0.0,0.0
58,2023-01-01,Duke Energy Carolinas,1849615.0,5161.0,0.0027903104159514,77.0,247.0,261.0,4876.0,84598.0,365530.0,170029.0,195501.0,0.0919266982588268,0.1056982128713272,0.1976249111301541,254.2358597650989,410.37545076495775,337.7459579241102,123456280.0,43227469.0,80228811.0,365530.0,0.1976249111301541,64649.0,,699.5553682191527,45225555.0,43.0,
59,2023-01-01,Duke Energy Progress,1303575.0,3676.0,0.0028199374796233,57.0,161.0,177.0,2580.0,45760.0,225945.0,107139.0,118806.0,0.0821885967435705,0.091138599620275,0.1733271963638455,301.25292377192244,469.64803124421326,389.7981411405431,88072941.0,32275937.0,55797004.0,225945.0,0.1733271963638455,43358.0,,770.6791364915356,33415106.0,55.0,
60,2022-12-01,Duke Energy Progress,1302462.0,3206.0,0.0024614921586963,50.0,189.0,159.0,1981.0,38555.0,234613.0,100534.0,134079.0,0.0771876645921339,0.1029427346056929,0.1801303991978269,225.65938886346908,449.55603039998806,353.61409640557,82962464.0,22686441.0,60276023.0,234613.0,0.1801303991978269,46193.0,,826.7469097049336,38189920.0,38.0,
61,2022-12-01,Duke Energy Carolinas,1847743.0,4888.0,0.0026453895373977,90.0,248.0,207.0,4148.0,68245.0,380288.0,165022.0,215266.0,0.0893100393290625,0.1165021326017741,0.2058121719308367,199.84061519070184,399.9772932093317,313.1300751009761,119079610.0,32978098.0,86101512.0,380288.0,0.2058121719308367,69129.0,,752.1471451923215,51995180.0,13.0,
62,2022-12-01,Dominion Energy,106928.0,60.0,0.0005611252431542,2.0,22.0,36.0,24.0,6268.0,20638.0,12255.0,8383.0,0.11460983091426,0.0783985485560377,0.1930083794702977,774.8175201958385,939.7308063938924,841.804053687373,17373152.060000002,9495388.71,7877763.35,18249.0,0.1706662427053718,5106.0,,738.9436271053663,3773046.16,0.0,0.0
63,2022-11-01,Duke Energy Progress,1299890.0,2960.0,0.0022771157559485,48.0,148.0,129.0,1448.0,31409.0,239444.0,113763.0,125681.0,0.0875174053189116,0.0966858734200586,0.1842032787389702,218.9374313265297,492.42226748673227,362.48601760745726,86795102.0,24906979.0,61888123.0,239444.0,0.1842032787389702,45013.0,,842.6314398062782,37929369.0,15.0,
64,2022-11-01,Duke Energy Carolinas,1844075.0,4823.0,0.0026154033865216,67.0,222.0,181.0,3731.0,56481.0,385947.0,183448.0,202499.0,0.0994796849368924,0.1098106096552472,0.2092902945921397,188.60783437268327,434.2086380673485,317.4698728063698,122526545.0,34599730.0,87926815.0,385947.0,0.2092902945921397,68301.0,,777.5495819973353,53107414.0,3.0,
65,2022-11-01,Dominion Energy,106794.0,146.0,0.001367118002884,5.0,51.0,90.0,27.0,5788.0,20076.0,12270.0,7806.0,0.1148940951738861,0.0730939940446092,0.1879880892184954,802.6372453137734,1004.6390263899564,881.1800777047222,17690571.240000002,9848359.0,7842212.24,18812.0,0.176152218289417,5330.0,,830.1248011257037,4424565.19,0.0,0.0
